               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.057203,             0.25646,                   0,             0.56988,             0.72996,             0.60145,             0.27932,            0.047096,              0.1834,                   0,             0.00361,             0.00361,             0.00361
                  73,            0.057221,             0.24448,                   0,             0.49388,             0.64906,             0.57767,             0.25119,            0.055697,             0.20111,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.063366,             0.24795,                   0,             0.74111,             0.72376,             0.74714,              0.3691,            0.046897,             0.16414,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.057864,             0.22004,                   0,             0.69768,             0.67056,             0.71139,             0.33631,            0.047076,             0.15973,                   0,             0.00334,             0.00334,             0.00334
                  76,            0.055905,             0.20396,                   0,             0.66144,             0.80359,             0.72112,             0.39052,            0.043706,             0.14498,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.057207,             0.27351,                   0,             0.67842,             0.72075,             0.68727,              0.3552,             0.04719,             0.15635,                   0,             0.00316,             0.00316,             0.00316
                  78,            0.061995,             0.28911,                   0,             0.85265,             0.72062,             0.82674,             0.44186,            0.041815,             0.16547,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.057922,             0.24341,                   0,             0.67426,             0.77331,             0.74343,             0.39095,            0.046058,             0.15692,                   0,             0.00298,             0.00298,             0.00298
                  80,            0.054601,             0.21074,                   0,             0.83059,             0.77705,             0.83687,             0.42762,            0.043473,              0.1536,                   0,             0.00289,             0.00289,             0.00289
                  81,            0.056699,             0.19725,                   0,             0.79956,             0.73208,             0.78369,             0.45554,            0.042171,             0.14752,                   0,              0.0028,              0.0028,              0.0028
                  82,            0.052694,             0.24395,                   0,              0.8058,             0.70943,             0.77379,             0.44931,             0.04318,             0.15128,                   0,             0.00271,             0.00271,             0.00271
                  83,             0.05314,             0.23549,                   0,             0.88072,             0.72446,             0.82203,             0.48642,            0.041159,             0.15189,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.053752,             0.21714,                   0,             0.88839,             0.72453,             0.83111,             0.50666,            0.040179,             0.14663,                   0,             0.00253,             0.00253,             0.00253
